Timestamp,Regime de Contratação,Qual é seu gênero?,Em qual região do Brasil você mora?,Modelo de Atuação,Você cria ou dá manutenção em testes automatizados em seu trabalho?,Qual é o seu salário mensal bruto em Reais?,Qual é o seu cargo atualmente?,Qual é sua senioridade?,Você foi afetado pela onde de demissões em massa nos últimos 6 meses?,(Opcional) Quais informações você quer que eu extraia a partir dos dados que você forneceu?
2/26/2023 9:30:41,CLT,Masculino,Sudeste,Remoto,Não,21000,Gerente de Qualidade (QA Manager),Pleno,Não,Faixas salarias dos níveis
2/12/2023 15:28:44,CLT,Masculino,Nordeste,Remoto,Não,20200,Gerente de Qualidade (QA Manager),Sênior,Não,"Opa Julião, como sempre, mandando ver nas pesquisas! 👏👏👏
Acho interessante levantar:

1) O percentual das posições por faixa salarial nas faixas acima da média A ideia seria entender se hoje em dia ainda se mantém forte a relação entre maiores salários com atribuições/responsabilidades de gestão (Gerente/Diretor e, talvez, Líder QA/Testes) ou se já se percebe um aumento relevante na média salarial de especialistas (""mão-na-massa"", posições sem responsabilidades ligadas à gestão de pessoas) no segmento de Qualidade de Software

2) Quem foi afetado lay-offs, levantar números associados aos Cargos, Regime de Contratação e Modelo de Atuação

3) Fazer o levantamento de Modelo de Atuação dos cargos de liderança e gestão, para entender se encontramos padrões/tendências nesse relacionamento Ex: Head of QA, 80% Presencial, 20% Híbrido, revelando que as empresas evitam contratar cargos de diretoria em regime 100% remoto

Também seria interessante entender se as pessoas mudaram de empresa nos últimos 6-12 meses, mas acredito que esse dado não seja possível de levantar com o questionário"
2/28/2023 21:01:46,CLT,Masculino,Sudeste,Remoto,"Sim, entre 1 e 8 horas por semana",20200,Engenheiro de Qualidade (QA Engineer),Especialista,Não,
2/9/2023 6:40:53,PJ,Masculino,Sul,Remoto,"Sim, mais de 8 horas por semama",20000,Engenheiro de Qualidade (QA Engineer),Sênior,Não,Salário é pago em USD e convertido a 5 reais o dólar
2/26/2023 18:59:55,Contrato,Masculino,Sul,Remoto,"Sim, mais de 8 horas por semama",20000,Engenheiro de Qualidade (QA Engineer),Sênior,Não,Acho interessante adicionar o cargo SDET nas opções 
2/9/2023 10:51:21,CLT,Feminino,Sudeste,Remoto,Não,20000,Gerente de Testes,Sênior,Sim,"Parece-me que tem empresas aproveitando as demissões em massa para recontratar por salários menores, isso em todas as áreas, não só QA e TI Ótima iniciativa esta pesquisa! Obrigada e Parabéns! Sucesso! "
2/21/2023 12:33:31,CLT,Masculino,Sudeste,Híbrido (Presencial e Remoto),"Sim, entre 1 e 8 horas por semana",20000,Gerente de Testes,Sênior,Não,
2/22/2023 17:21:30,PJ,Masculino,Sudeste,Remoto,"Sim, mais de 8 horas por semama",20000,Engenheiro de Qualidade (QA Engineer),Sênior,Não,
2/22/2023 18:15:58,PJ,Masculino,Sudeste,Remoto,Não,20000,Gerente de Qualidade (QA Manager),Especialista,Não,
2/26/2023 8:18:52,Contrato,Feminino,Nordeste,Presencial,"Sim, mais de 8 horas por semama",20000,Líder de Testes,Pleno,Não,
2/27/2023 4:53:01,CLT,Masculino,Sudeste,Híbrido (Presencial e Remoto),Não,20000,Gerente de Qualidade (QA Manager),Especialista,Sim,
2/22/2023 16:56:23,PJ,Feminino,Sul,Remoto,"Sim, mais de 8 horas por semama",19940.8,Engenheiro de Qualidade (QA Engineer),Sênior,Não,
2/21/2023 18:15:16,CLT,Masculino,Sudeste,Remoto,Não,19000,Gerente de Qualidade (QA Manager),Especialista,Não,
2/28/2023 5:13:14,CLT,Feminino,Centro-Oeste,Remoto,"Sim, entre 1 e 8 horas por semana",18800,Engenheiro de Qualidade (QA Engineer),Pleno,Não,
2/23/2023 6:21:52,CLT,Masculino,Nordeste,Remoto,"Sim, mais de 8 horas por semama",18600,Engenheiro de Qualidade (QA Engineer),Sênior,Não,
2/13/2023 19:01:04,CLT,Feminino,Norte,Híbrido (Presencial e Remoto),Não,18500,Gerente de Qualidade (QA Manager),Especialista,Não,
2/15/2023 10:40:23,PJ,Masculino,Centro-Oeste,Remoto,"Sim, mais de 8 horas por semama",18000,Automatizador de Testes,Sênior,Sim,
2/26/2023 11:49:46,CLT,Masculino,Sudeste,Presencial,"Sim, entre 1 e 8 horas por semana",18000,Líder de Testes,Especialista,Não,
2/27/2023 4:58:30,CLT,Masculino,Sudeste,Remoto,"Sim, entre 1 e 8 horas por semana",18000,Líder de Testes,Sênior,Não,
2/26/2023 8:56:06,Contrato,Feminino,Sudeste,Remoto,"Sim, mais de 8 horas por semama",18000,Engenheiro de Qualidade (QA Engineer),Pleno,Não,
2/26/2023 13:38:30,PJ,Masculino,Sudeste,Remoto,"Sim, mais de 8 horas por semama",18000,Engenheiro de Qualidade (QA Engineer),Especialista,Não,
2/27/2023 8:53:28,CLT,Masculino,Sudeste,Remoto,"Sim, entre 1 e 8 horas por semana",18000,Líder de Testes,Especialista,Sim,
2/27/2023 10:28:35,PJ,Masculino,Sudeste,Remoto,"Sim, entre 1 e 8 horas por semana",18000,Engenheiro de Qualidade (QA Engineer),Especialista,Não,
2/21/2023 11:53:46,PJ,Masculino,Sudeste,Remoto,"Sim, mais de 8 horas por semama",17800,Automatizador de Testes,Especialista,Sim,
2/27/2023 9:59:54,CLT,Masculino,Sudeste,Remoto,"Sim, mais de 8 horas por semama",17800,Engenheiro de Qualidade (QA Engineer),Especialista,Não,
2/26/2023 18:43:46,CLT,Feminino,Sudeste,Remoto,Não,17400,Líder de Testes,Especialista,Não,
2/9/2023 8:11:34,CLT,Masculino,Sudeste,Remoto,"Sim, entre 1 e 8 horas por semana",17000,Líder de Testes,Especialista,Não,
3/1/2023 12:12:05,CLT,Masculino,Sudeste,Remoto,"Sim, mais de 8 horas por semama",17000,Gerente de Qualidade (QA Manager),Sênior,Não,
2/9/2023 16:35:49,CLT,Masculino,Centro-Oeste,Remoto,"Sim, mais de 8 horas por semama",16200,Engenheiro de Qualidade (QA Engineer),Sênior,Não,
2/9/2023 7:39:58,CLT,Masculino,Sul,Remoto,"Sim, entre 1 e 8 horas por semana",16000,Gerente de Testes,Especialista,Não,
2/22/2023 17:47:55,PJ,Masculino,Nordeste,Remoto,"Sim, mais de 8 horas por semama",16000,Automatizador de Testes,Especialista,Não,
3/8/2023 8:22:20,PJ,Masculino,Sudeste,Remoto,"Sim, entre 1 e 8 horas por semana",16000,Engenheiro de Qualidade (QA Engineer),Sênior,Sim,
2/10/2023 17:31:38,PJ,Masculino,Sudeste,Remoto,"Sim, mais de 8 horas por semama",16000,Engenheiro de Qualidade (QA Engineer),Sênior,Sim,
2/26/2023 9:16:00,CLT,Masculino,Sudeste,Remoto,"Sim, entre 1 e 8 horas por semana",16000,Engenheiro de Qualidade (QA Engineer),Sênior,Não,
2/22/2023 9:52:42,CLT,Masculino,Norte,Remoto,"Sim, entre 1 e 8 horas por semana",15930,Engenheiro de Qualidade (QA Engineer),Sênior,Não,
2/23/2023 11:42:13,PJ,Masculino,Sul,Remoto,"Sim, mais de 8 horas por semama",15900,Analista de Testes,Sênior,Não,
2/13/2023 7:50:58,CLT,Masculino,Sudeste,Remoto,"Sim, mais de 8 horas por semama",15822,Engenheiro de Qualidade (QA Engineer),Especialista,Não,
2/9/2023 6:42:21,CLT,Masculino,Sudeste,Remoto,"Sim, entre 1 e 8 horas por semana",15800,Engenheiro de Qualidade (QA Engineer),Especialista,Não,Poderia ser todos
2/28/2023 7:50:24,CLT,Masculino,Sudeste,Remoto,"Sim, entre 1 e 8 horas por semana",15600,Líder de Testes,Especialista,Não,
2/9/2023 7:41:04,CLT,Masculino,Sudeste,Remoto,"Sim, entre 1 e 8 horas por semana",15550,Líder de Testes,Especialista,Não,
2/9/2023 21:25:50,CLT,Masculino,Sudeste,Remoto,"Sim, mais de 8 horas por semama",15500,Engenheiro de Qualidade (QA Engineer),Sênior,Sim,
2/9/2023 7:26:42,CLT,Masculino,Sul,Remoto,"Sim, entre 1 e 8 horas por semana",15300,Líder de Testes,Sênior,Não,
2/9/2023 10:53:07,CLT,Masculino,Nordeste,Remoto,"Sim, mais de 8 horas por semama",15300,Engenheiro de Qualidade (QA Engineer),Sênior,Não,"Gostaria de saber quais os cargos e as senioridades, de maior relevência"
2/26/2023 9:14:45,PJ,Masculino,Sul,Remoto,"Sim, entre 1 e 8 horas por semana",15300,Analista de Qualidade (QA),Sênior,Não,
2/9/2023 6:28:24,PJ,Masculino,Sudeste,Remoto,"Sim, mais de 8 horas por semama",15200,Analista de Qualidade (QA),Sênior,Não,
2/9/2023 9:04:41,CLT,Feminino,Sudeste,Remoto,"Sim, entre 1 e 8 horas por semana",15200,Engenheiro de Qualidade (QA Engineer),Especialista,Não,
2/9/2023 10:19:39,PJ,Masculino,Sudeste,Híbrido (Presencial e Remoto),Não,15200,Engenheiro de Qualidade (QA Engineer),Sênior,Sim,
2/17/2023 13:48:20,CLT,Masculino,Sudeste,Remoto,"Sim, mais de 8 horas por semama",15100,Engenheiro de Qualidade (QA Engineer),Sênior,Não,
2/9/2023 11:25:25,CLT,Feminino,Sul,Remoto,Não,15000,Analista de Qualidade (QA),Sênior,Não,A vida fora a automação
2/9/2023 9:19:02,CLT,Masculino,Sudeste,Remoto,Não,15000,Gerente de Qualidade (QA Manager),Especialista,Não,
2/11/2023 11:38:20,CLT,Masculino,Centro-Oeste,Remoto,"Sim, mais de 8 horas por semama",15000,Engenheiro de Qualidade (QA Engineer),Especialista,Não,
2/26/2023 9:41:27,CLT,Masculino,Sudeste,Remoto,"Sim, mais de 8 horas por semama",15000,Engenheiro de Qualidade (QA Engineer),Sênior,Não,
2/26/2023 11:33:02,PJ,Masculino,Sul,Remoto,"Sim, mais de 8 horas por semama",15000,Automatizador de Testes,Sênior,Não,
2/28/2023 22:03:19,PJ,Masculino,Nordeste,Remoto,"Sim, mais de 8 horas por semama",15000,Engenheiro de Qualidade (QA Engineer),Sênior,Sim,"Como PJ perdi 1 cliente lay offs, mas mantive outro neste período "
2/27/2023 7:10:42,CLT,Masculino,Norte,Remoto,"Sim, mais de 8 horas por semama",15000,Automatizador de Testes,Sênior,Não,
2/9/2023 6:34:21,PJ,Masculino,Sul,Remoto,"Sim, mais de 8 horas por semama",15000,Engenheiro de Qualidade (QA Engineer),Sênior,Não,"Acho que seria interessante saber se as pessoas trabalham para empresas de fora, mesmo estando no Brasil, pois isso trás um impacto no salário também"
2/10/2023 7:58:10,CLT,Masculino,Sudeste,Híbrido (Presencial e Remoto),"Sim, entre 1 e 8 horas por semana",15000,Líder de Testes,Sênior,Não,
2/11/2023 15:43:16,CLT,Masculino,Nordeste,Remoto,"Sim, entre 1 e 8 horas por semana",15000,Engenheiro de Qualidade (QA Engineer),Especialista,Não,
2/13/2023 6:30:57,PJ,Feminino,Sul,Híbrido (Presencial e Remoto),"Sim, mais de 8 horas por semama",15000,Gerente de Testes,Sênior,Sim,
2/22/2023 9:49:32,CLT,Masculino,Sudeste,Remoto,"Sim, mais de 8 horas por semama",15000,Engenheiro de Qualidade (QA Engineer),Especialista,Não,
2/23/2023 6:08:18,CLT,Feminino,Sudeste,Remoto,"Sim, entre 1 e 8 horas por semana",15000,Engenheiro de Qualidade (QA Engineer),Sênior,Não,
2/26/2023 9:58:32,CLT,Masculino,Sudeste,Remoto,"Sim, entre 1 e 8 horas por semana",15000,Engenheiro de Qualidade (QA Engineer),Especialista,Não,
2/26/2023 10:42:17,CLT,Masculino,Sul,Remoto,"Sim, mais de 8 horas por semama",15000,Analista de Qualidade (QA),Especialista,Não,
3/3/2023 22:33:52,CLT,Masculino,Sul,Remoto,Não,15000,Líder de Testes,Sênior,Não,
2/22/2023 9:02:23,PJ,Masculino,Sudeste,Remoto,Não,15000,Analista de Testes,Pleno,Não,
2/27/2023 5:31:35,CLT,Masculino,Sudeste,Remoto,"Sim, mais de 8 horas por semama",15000,Engenheiro de Qualidade (QA Engineer),Sênior,Não,
3/5/2023 21:41:38,CLT,Masculino,Sul,Remoto,"Sim, mais de 8 horas por semama",15000,Automatizador de Testes,Especialista,Não,
2/11/2023 9:54:53,CLT,Masculino,Sudeste,Remoto,Não,14800,Analista de Qualidade (QA),Sênior,Não,
2/22/2023 17:12:52,CLT,Masculino,Nordeste,Remoto,"Sim, mais de 8 horas por semama",14800,Engenheiro de Qualidade (QA Engineer),Sênior,Não,
2/11/2023 8:40:04,CLT,Feminino,Sul,Remoto,Não,14777,Gerente de Testes,Pleno,Não,
2/22/2023 17:08:31,CLT,Feminino,Sudeste,Remoto,Não,14582,Analista de Qualidade (QA),Sênior,Não,
2/22/2023 13:06:18,CLT,Masculino,Sudeste,Remoto,"Sim, mais de 8 horas por semama",14500,Engenheiro de Qualidade (QA Engineer),Sênior,Não,Se a nossa área está inchada de mão de obra ou com falta dela 
2/9/2023 8:44:28,CLT,Masculino,Sudeste,Remoto,"Sim, entre 1 e 8 horas por semana",14500,Engenheiro de Qualidade (QA Engineer),Especialista,Não,
2/15/2023 16:25:48,PJ,Masculino,Sudeste,Remoto,"Sim, mais de 8 horas por semama",14500,Líder de Testes,Especialista,Não,"- Salários por região
- Por cargo
- Faixa por tipo de modelo de trabalho"
2/22/2023 18:55:39,CLT,Masculino,Sudeste,Remoto,"Sim, mais de 8 horas por semama",14500,Engenheiro de Qualidade (QA Engineer),Sênior,Não,
2/23/2023 14:53:05,CLT,Feminino,Sudeste,Remoto,"Sim, entre 1 e 8 horas por semana",14500,Engenheiro de Qualidade (QA Engineer),Sênior,Não,
2/9/2023 21:40:54,CLT,Masculino,Sudeste,Híbrido (Presencial e Remoto),"Sim, mais de 8 horas por semama",14400,Engenheiro de Qualidade (QA Engineer),Especialista,Não,"Gostaria de saber mais sobre a parte técnica de atuação dos QAs, com relação a testes unitários, pair com Deus em resolução de bugs e afins"
2/9/2023 7:08:37,CLT,Feminino,Sudeste,Presencial,Não,14400,Engenheiro de Qualidade (QA Engineer),Sênior,Sim,
2/9/2023 19:33:07,CLT,Masculino,Sul,Híbrido (Presencial e Remoto),"Sim, entre 1 e 8 horas por semana",14300,Analista de Qualidade (QA),Sênior,Não,
2/9/2023 6:58:07,PJ,Feminino,Nordeste,Remoto,"Sim, entre 1 e 8 horas por semana",14200,Engenheiro de Qualidade (QA Engineer),Sênior,Não,
2/9/2023 16:56:50,CLT,Masculino,Sudeste,Híbrido (Presencial e Remoto),"Sim, mais de 8 horas por semama",14053,Líder de Testes,Sênior,Não,
2/11/2023 13:40:14,CLT,Feminino,Sudeste,Remoto,"Sim, entre 1 e 8 horas por semana",14000,Analista de Qualidade (QA),Sênior,Não,
2/23/2023 5:35:18,PJ,Masculino,Sul,Remoto,"Sim, entre 1 e 8 horas por semana",14000,Engenheiro de Qualidade (QA Engineer),Sênior,Não,
2/26/2023 5:43:45,CLT,Masculino,Sudeste,Híbrido (Presencial e Remoto),Não,14000,Gerente de Qualidade (QA Manager),Sênior,Não,
2/9/2023 10:29:16,CLT,Masculino,Sul,Híbrido (Presencial e Remoto),"Sim, entre 1 e 8 horas por semana",14000,Engenheiro de Qualidade (QA Engineer),Sênior,Não,
2/12/2023 18:08:14,CLT,Feminino,Sudeste,Remoto,Não,14000,Líder de Testes,Especialista,Sim,
2/20/2023 8:54:05,CLT,Masculino,Sul,Remoto,"Sim, mais de 8 horas por semama",14000,Automatizador de Testes,Sênior,Não,"Nada para essa pesquisa, mas para as próximas poderia ter perguntas sobre utilização do inglês e também qual região a empresa fica Acho que são informações que contribuem para valores de salário "
2/21/2023 6:04:49,PJ,Masculino,Sul,Remoto,"Sim, entre 1 e 8 horas por semana",14000,Analista de Qualidade (QA),Sênior,Sim,Com os lay offs os QA sênior ou Plenor começaram aceitar os trabalhos por menores valores praticados no mercado
2/22/2023 17:36:43,PJ,Masculino,Sul,Remoto,"Sim, entre 1 e 8 horas por semana",14000,Analista de Testes,Sênior,Não,
2/26/2023 11:34:55,CLT,Masculino,Sudeste,Remoto,"Sim, entre 1 e 8 horas por semana",14000,Engenheiro de Qualidade (QA Engineer),Sênior,Não,
2/26/2023 22:03:08,PJ,Masculino,Sudeste,Remoto,"Sim, entre 1 e 8 horas por semana",14000,Analista de Qualidade (QA),Pleno,Não,
2/27/2023 9:12:23,CLT,Feminino,Nordeste,Híbrido (Presencial e Remoto),"Sim, entre 1 e 8 horas por semana",14000,Líder de Testes,Especialista,Sim,
3/5/2023 22:43:20,PJ,Feminino,Sudeste,Remoto,Não,14000,Analista de Qualidade (QA),Sênior,Sim,
3/9/2023 1:42:15,CLT,Feminino,Sudeste,Remoto,Não,14000,Líder de Testes,Especialista,Não,Média do salário por cargo e região do país
2/26/2023 12:17:12,PJ,Masculino,Sudeste,Remoto,Não,14000,Analista de Testes,Sênior,Não,Média salarial da área 
2/27/2023 6:53:48,PJ,Feminino,Sudeste,Remoto,Não,14000,Engenheiro de Qualidade (QA Engineer),Sênior,Sim,"Quanto tempo de carreira , qual a ferramenta que você está usando , qual linguagem "
2/27/2023 8:19:34,PJ,Masculino,Sudeste,Remoto,Não,14000,Engenheiro de Qualidade (QA Engineer),Especialista,Não,
2/27/2023 12:55:40,CLT,Feminino,Sudeste,Remoto,Não,13800,Líder de Testes,Especialista,Não,
2/22/2023 17:38:09,CLT,Feminino,Centro-Oeste,Remoto,"Sim, entre 1 e 8 horas por semana",13700,Líder de Testes,Pleno,Não,"Salários, Senioridades "
2/26/2023 8:53:01,CLT,Masculino,Nordeste,Remoto,"Sim, mais de 8 horas por semama",13700,Líder de Testes,Sênior,Não,
2/9/2023 9:26:52,CLT,Masculino,Sudeste,Remoto,"Sim, entre 1 e 8 horas por semana",13665,Analista de Qualidade (QA),Sênior,Não,
2/11/2023 9:07:57,CLT,Masculino,Sudeste,Remoto,"Sim, mais de 8 horas por semama",13500,Engenheiro de Qualidade (QA Engineer),Pleno,Não,"Algo que não foi sugerido, e acontece comigo, é ter mais de um emprego
Tenho um CLT e um PJ"
2/26/2023 8:14:30,CLT,Feminino,Nordeste,Remoto,"Sim, mais de 8 horas por semama",13500,Engenheiro de Qualidade (QA Engineer),Sênior,Não,
2/27/2023 19:15:47,PJ,Masculino,Sudeste,Remoto,"Sim, entre 1 e 8 horas por semana",13500,Engenheiro de Qualidade (QA Engineer),Sênior,Não,
2/9/2023 7:48:06,PJ,Masculino,Nordeste,Remoto,"Sim, entre 1 e 8 horas por semana",13440,Automatizador de Testes,Sênior,Não,
2/9/2023 21:16:40,CLT,Masculino,Sudeste,Híbrido (Presencial e Remoto),Não,13300,Líder de Testes,Sênior,Não,
2/9/2023 7:50:10,CLT,Masculino,Sudeste,Remoto,Não,13200,Gerente de Qualidade (QA Manager),Sênior,Não,
2/26/2023 10:32:55,CLT,Masculino,Sul,Remoto,"Sim, mais de 8 horas por semama",13105,Engenheiro de Qualidade (QA Engineer),Sênior,Não,
2/11/2023 9:02:14,Contrato,Masculino,Norte,Remoto,"Sim, mais de 8 horas por semama",13000,Engenheiro de Qualidade (QA Engineer),Especialista,Não,
2/22/2023 18:15:52,PJ,Masculino,Sul,Remoto,"Sim, entre 1 e 8 horas por semana",13000,Engenheiro de Qualidade (QA Engineer),Sênior,Não,
2/27/2023 7:06:57,CLT,Masculino,Nordeste,Remoto,"Sim, entre 1 e 8 horas por semana",13000,Analista de Testes,Sênior,Sim,
2/9/2023 6:13:17,CLT,Masculino,Sudeste,Remoto,"Sim, mais de 8 horas por semama",13000,Analista de Qualidade (QA),Sênior,Não,
2/9/2023 7:11:04,PJ,Masculino,Sudeste,Remoto,"Sim, mais de 8 horas por semama",13000,Analista de Testes,Especialista,Não,
2/11/2023 8:42:54,CLT,Masculino,Centro-Oeste,Remoto,Não,13000,Líder de Testes,Especialista,Não,
2/11/2023 8:58:49,CLT,Feminino,Sudeste,Remoto,"Sim, entre 1 e 8 horas por semana",13000,Engenheiro de Qualidade (QA Engineer),Sênior,Sim,
2/11/2023 11:48:55,CLT,Masculino,Sul,Remoto,"Sim, mais de 8 horas por semama",13000,Engenheiro de Qualidade (QA Engineer),Especialista,Não,
2/14/2023 19:04:21,PJ,Masculino,Sudeste,Remoto,"Sim, entre 1 e 8 horas por semana",13000,Líder de Testes,Sênior,Não,
2/15/2023 11:34:33,CLT,Masculino,Sul,Remoto,"Sim, mais de 8 horas por semama",13000,Líder de Testes,Especialista,Não,"Faltou a informação de QA Lead, então foi como líder de testes"
2/16/2023 10:28:05,PJ,Masculino,Nordeste,Remoto,Não,13000,Gerente de Testes,Sênior,Não,
2/23/2023 19:47:47,PJ,Feminino,Sudeste,Remoto,Não,13000,Analista de Testes,Pleno,Não,
2/24/2023 12:29:12,CLT,Masculino,Centro-Oeste,Remoto,Não,13000,Analista de Qualidade (QA),Sênior,Não,Salário 
2/27/2023 5:20:40,Contrato,Masculino,Norte,Remoto,Não,13000,Analista de Testes,Sênior,Não,
2/27/2023 6:28:46,CLT,Masculino,Sul,Remoto,"Sim, mais de 8 horas por semama",13000,Engenheiro de Qualidade (QA Engineer),Sênior,Não,
2/9/2023 6:42:20,CLT,Masculino,Nordeste,Remoto,"Sim, mais de 8 horas por semama",13000,Automatizador de Testes,Sênior,Não,
2/9/2023 12:33:12,CLT,Masculino,Nordeste,Remoto,"Sim, mais de 8 horas por semama",13000,Engenheiro de Qualidade (QA Engineer),Sênior,Não,
2/22/2023 16:34:20,CLT,Masculino,Sul,Remoto,"Sim, mais de 8 horas por semama",12900,Engenheiro de Qualidade (QA Engineer),Especialista,Não,
2/9/2023 10:31:43,CLT,Masculino,Sudeste,Remoto,"Sim, entre 1 e 8 horas por semana",12711.6,Analista de Testes,Especialista,Não,"Sobre o quanto os QAs criam, mantém e executam o ambiente de testes automatizados"
2/11/2023 9:09:57,CLT,Masculino,Centro-Oeste,Remoto,"Sim, mais de 8 horas por semama",12700,Engenheiro de Qualidade (QA Engineer),Especialista,Não,
2/9/2023 6:41:52,CLT,Feminino,Sudeste,Remoto,Não,12509,Líder de Testes,Sênior,Não,
2/22/2023 16:23:27,CLT,Feminino,Sudeste,Remoto,"Sim, entre 1 e 8 horas por semana",12500,Engenheiro de Qualidade (QA Engineer),Sênior,Sim,
2/9/2023 6:23:16,PJ,Masculino,Sul,Remoto,"Sim, mais de 8 horas por semama",12500,Analista de Qualidade (QA),Pleno,Não,
2/23/2023 19:47:36,Contrato,Feminino,Sul,Remoto,"Sim, entre 1 e 8 horas por semana",12500,Automatizador de Testes,Pleno,Não,
2/9/2023 13:03:28,PJ,Feminino,Sul,Remoto,"Sim, mais de 8 horas por semama",12500,Automatizador de Testes,Júnior,Não,
